agent,game_num,score,record,mean_score
Random,5005,0,2,0.125
Random,5006,1,2,0.125
Random,5007,0,2,0.125
DQN,772,45,55,21.018
Random,5008,0,2,0.125
Random,5009,0,2,0.125
Random,5010,0,2,0.125
DQN,773,14,55,21.009
Random,5011,1,2,0.125
Random,5012,0,2,0.125
Random,5013,0,2,0.125
Random,5014,0,2,0.125
Random,5015,0,2,0.125
Random,5016,0,2,0.125
Random,5017,0,2,0.125
BFS,345,62,88,50.939
Random,5018,0,2,0.125
Random,5019,0,2,0.125
Random,5020,0,2,0.125
Random,5021,1,2,0.125
DQN,774,34,55,21.026
Random,5022,1,2,0.125
Random,5023,0,2,0.125
A*,347,74,90,51.084
Random,5024,0,2,0.125
Random,5025,1,2,0.125
DQN,775,14,55,21.017
Random,5026,0,2,0.125
Random,5027,0,2,0.125
Random,5028,0,2,0.125
BFS,346,37,88,50.899
Random,5029,0,2,0.125
Random,5030,1,2,0.125
Random,5031,0,2,0.125
Random,5032,0,2,0.125
Random,5033,0,2,0.125
Random,5034,0,2,0.125
Random,5035,0,2,0.125
BFS,347,30,88,50.839
A*,348,42,90,51.057
Random,5036,0,2,0.125
Random,5037,0,2,0.125
Random,5038,0,2,0.125
Random,5039,0,2,0.125
DQN,776,46,55,21.049
Random,5040,0,2,0.125
Random,5041,0,2,0.125
Random,5042,1,2,0.125
Random,5043,0,2,0.125
Random,5044,0,2,0.125
Random,5045,0,2,0.125
Random,5046,0,2,0.125
DQN,777,23,55,21.051
Random,5047,0,2,0.125
Random,5048,0,2,0.125
Random,5049,0,2,0.125
Random,5050,0,2,0.125
Random,5051,0,2,0.125
Random,5052,0,2,0.125
BFS,348,48,88,50.830
Random,5053,0,2,0.125
Random,5054,0,2,0.125
Random,5055,0,2,0.125
Random,5056,0,2,0.125
Random,5057,0,2,0.125
Random,5058,0,2,0.125
A*,349,56,90,51.072
Random,5059,0,2,0.125
Random,5060,0,2,0.125
DQN,778,42,55,21.078
Random,5061,0,2,0.125
Random,5062,0,2,0.125
Random,5063,0,2,0.125
DQN,779,11,55,21.065
Random,5064,0,2,0.125
Random,5065,0,2,0.125
Random,5066,0,2,0.125
BFS,349,58,88,50.851
Random,5067,0,2,0.125
Random,5068,0,2,0.125
Random,5069,0,2,0.125
Random,5070,0,2,0.125
A*,350,58,90,51.091
Random,5071,1,2,0.125
Random,5072,0,2,0.125
BFS,350,38,88,50.814
Random,5073,0,2,0.125
Random,5074,1,2,0.125
DQN,780,63,63,21.119
Random,5075,0,2,0.125
Random,5076,0,2,0.125
Random,5077,0,2,0.125
Random,5078,0,2,0.125
Random,5079,0,2,0.125
Random,5080,0,2,0.125
Random,5081,0,2,0.125
DQN,781,25,63,21.124
Random,5082,0,2,0.125
Random,5083,0,2,0.125
A*,351,46,90,51.077
Random,5084,0,2,0.125
BFS,351,44,88,50.795
Random,5085,0,2,0.125
Random,5086,0,2,0.125
Random,5087,0,2,0.125
Random,5088,0,2,0.125
Random,5089,0,2,0.125
DQN,782,28,63,21.133
Random,5090,0,2,0.125
Random,5091,0,2,0.125
Random,5092,0,2,0.125
Random,5093,0,2,0.124
Random,5094,0,2,0.124
Random,5095,0,2,0.124
Random,5096,0,2,0.124
Random,5097,0,2,0.124
Random,5098,0,2,0.124
Random,5099,0,2,0.124
Random,5100,0,2,0.124
BFS,352,38,88,50.759
Random,5101,0,2,0.124
Random,5102,0,2,0.124
Random,5103,1,2,0.124
Random,5104,0,2,0.124
A*,352,59,90,51.099
Random,5105,0,2,0.124
Random,5106,0,2,0.124
DQN,783,40,63,21.157
Random,5107,1,2,0.125
Random,5108,0,2,0.125
Random,5109,0,2,0.124
Random,5110,0,2,0.124
Random,5111,0,2,0.124
Random,5112,0,2,0.124
DQN,784,18,63,21.153
Random,5113,0,2,0.124
Random,5114,0,2,0.124
Random,5115,0,2,0.124
Random,5116,0,2,0.124
BFS,353,50,88,50.756
Random,5117,0,2,0.124
DQN,785,21,63,21.153
Random,5118,0,2,0.124
Random,5119,0,2,0.124
