agent,game_num,score,record,mean_score
Random,3998,0,2,0.129
Random,3999,1,2,0.129
DQN,620,33,55,20.192
Random,4000,0,2,0.129
Random,4001,0,2,0.129
Random,4002,0,2,0.129
DQN,621,14,55,20.182
Random,4003,0,2,0.129
Random,4004,0,2,0.129
Random,4005,0,2,0.129
Random,4006,0,2,0.129
Random,4007,1,2,0.129
Random,4008,0,2,0.129
Random,4009,0,2,0.129
Random,4010,0,2,0.129
Random,4011,0,2,0.129
DQN,622,35,55,20.206
Random,4012,0,2,0.129
BFS,274,63,88,51.325
Random,4013,0,2,0.129
Random,4014,0,2,0.129
Random,4015,0,2,0.129
DQN,623,26,55,20.215
Random,4016,0,2,0.129
Random,4017,1,2,0.129
Random,4018,0,2,0.129
A*,276,77,90,51.141
Random,4019,0,2,0.129
