game_num,score,record,mean_score
1,1,1,1.000
2,3,3,2.000
3,0,3,1.333
4,3,3,1.750
5,2,3,1.800
6,0,3,1.500
7,2,3,1.571
8,0,3,1.375
9,7,7,2.000
10,2,7,2.000
